"번호";"주차장번호";"주차장위도";"주차장경도";"목적지번호";"목적지위도";"목적지경도";"거리계산"
1;"204-1-000003";37.44166429;127.1484933;74;37.44042053;127.1457945;280
2;"204-1-000003";37.44166429;127.1484933;84;37.44162767;127.1470013;130
3;"204-1-000003";37.44166429;127.1484933;85;37.44097996;127.1459012;240
4;"204-1-000003";37.44166429;127.1484933;92;37.44226978;127.1460786;220
5;"204-1-000003";37.44166429;127.1484933;94;37.44400186;127.1476072;270
6;"204-1-000003";37.44166429;127.1484933;100;37.44156366;127.1481208;30
7;"204-1-000004";37.44320236;127.130922;67;37.44528499;127.132008;250
8;"204-1-000004";37.44320236;127.130922;80;37.44438833;127.1289331;220
9;"204-1-000005";37.43745805;127.1398748;13;37.4375733;127.1408435;90
10;"204-1-000005";37.43745805;127.1398748;29;37.43598069;127.1423985;280
11;"204-1-000006";37.43746259;127.1403505;13;37.4375733;127.1408435;50
12;"204-1-000006";37.43746259;127.1403505;29;37.43598069;127.1423985;240
13;"204-1-000007";37.43693675;127.1387845;13;37.4375733;127.1408435;200
18;"204-1-000008";37.45338736;127.1602298;21;37.45164845;127.1609703;200
14;"204-1-000009";37.45292424;127.1588907;21;37.45164845;127.1609703;230
15;"204-1-000010";37.45414349;127.1605093;2;37.45603265;127.1629446;300
16;"204-1-000010";37.45414349;127.1605093;21;37.45164845;127.1609703;280
17;"204-1-000011";37.45047695;127.158994;21;37.45164845;127.1609703;220
19;"204-1-000013";37.46243664;127.1683513;24;37.46000729;127.1669018;300
20;"204-2-000005";37.45528609;127.1606724;2;37.45603265;127.1629446;220
21;"204-2-000005";37.45528609;127.1606724;28;37.45592072;127.1636805;270
22;"204-2-000011";37.45466888;127.1290839;97;37.45690136;127.1273299;290
23;"204-2-000011";37.45466888;127.1290839;98;37.45445813;127.1308169;150
24;"204-2-000012";37.45659231;127.1267996;97;37.45690136;127.1273299;60
25;"204-2-000013";37.44971199;127.1457155;83;37.45099718;127.1480251;250
26;"204-2-000014";37.4388208;127.1395247;13;37.4375733;127.1408435;180
27;"204-2-000014";37.4388208;127.1395247;70;37.44011859;127.137718;220
28;"204-2-000015";37.44839239;127.149022;83;37.45099718;127.1480251;300
29;"204-2-000016";37.44275675;127.1509951;5;37.4421381;127.1540812;280
30;"204-2-000016";37.44275675;127.1509951;76;37.44373281;127.1527975;190
31;"204-2-000016";37.44275675;127.1509951;100;37.44156366;127.1481208;290
32;"204-2-000017";37.44180073;127.1369764;70;37.44011859;127.137718;200
33;"204-2-000017";37.44180073;127.1369764;88;37.44188671;127.1342961;240
34;"204-2-000019";37.44511353;127.1332352;67;37.44528499;127.132008;110
35;"204-2-000019";37.44511353;127.1332352;82;37.44657328;127.1307499;270
36;"204-2-000019";37.44511353;127.1332352;93;37.4441516;127.1347334;170
37;"204-2-000020";37.44717951;127.1292157;82;37.44657328;127.1307499;150
38;"204-2-000021";37.44597159;127.1389306;79;37.44428131;127.1413996;290
39;"204-2-000021";37.44597159;127.1389306;87;37.44658743;127.1363667;240
40;"204-2-000024";37.45123428;127.1385804;72;37.45049223;127.1392717;100
41;"204-2-000027";37.43684866;127.1339166;96;37.43882581;127.1346704;230
42;"204-2-000027";37.43684866;127.1339166;99;37.43600263;127.1342848;100
43;"204-2-000028";37.43534918;127.1340856;99;37.43600263;127.1342848;70
44;"204-2-000029";37.43814679;127.1333223;96;37.43882581;127.1346704;140
45;"204-2-000029";37.43814679;127.1333223;99;37.43600263;127.1342848;250
46;"204-2-000032";37.44432957;127.1440597;79;37.44428131;127.1413996;230
47;"204-2-000032";37.44432957;127.1440597;92;37.44226978;127.1460786;290
48;"204-2-000034";37.44339097;127.1423583;71;37.44110171;127.1440465;290
49;"204-2-000034";37.44339097;127.1423583;79;37.44428131;127.1413996;130
50;"205-1-000014";37.44572119;127.1578132;4;37.44433091;127.1583171;160
51;"205-1-000017";37.45306206;127.1609163;21;37.45164845;127.1609703;160
52;"205-1-000018";37.44557644;127.1635491;17;37.44617734;127.1658346;210
53;"205-1-000018";37.44557644;127.1635491;31;37.44645178;127.1651421;170
54;"205-1-000019";37.44586302;127.1648019;17;37.44617734;127.1658346;100
55;"205-1-000019";37.44586302;127.1648019;31;37.44645178;127.1651421;70
56;"205-1-000020";37.44637488;127.1647397;17;37.44617734;127.1658346;100
57;"205-1-000020";37.44637488;127.1647397;31;37.44645178;127.1651421;40
58;"205-1-000021";37.44572178;127.1626388;17;37.44617734;127.1658346;290
59;"205-1-000021";37.44572178;127.1626388;31;37.44645178;127.1651421;240
60;"205-1-000022";37.4407131;127.1482654;74;37.44042053;127.1457945;220
61;"205-1-000022";37.4407131;127.1482654;78;37.44062294;127.1451255;280
62;"205-1-000022";37.4407131;127.1482654;84;37.44162767;127.1470013;150
63;"205-1-000022";37.4407131;127.1482654;85;37.44097996;127.1459012;210
64;"205-1-000022";37.4407131;127.1482654;92;37.44226978;127.1460786;260
65;"205-1-000022";37.4407131;127.1482654;100;37.44156366;127.1481208;100
66;"205-1-000023";37.44102938;127.1489622;74;37.44042053;127.1457945;290
67;"205-1-000023";37.44102938;127.1489622;84;37.44162767;127.1470013;190
68;"205-1-000023";37.44102938;127.1489622;85;37.44097996;127.1459012;270
69;"205-1-000023";37.44102938;127.1489622;92;37.44226978;127.1460786;290
