"목적지번호";"시군명";"상호명";"지번주소";"도로명주소";"위도";"경도"
1;"성남시 중원구";"서비스콜";"경기도 성남시 중원구 상대원동 144-3";"경기도 성남시 중원구 갈마치로 302";37.44034279;127.1728719
2;"성남시 중원구";"사라애견용품";"경기도 성남시 중원구 은행동 1589";"경기도 성남시 중원구 산성대로504번길 1";37.45603265;127.1629446
3;"성남시 중원구";"크린위드";"경기도 성남시 중원구 중앙동 577";"경기도 성남시 중원구 시민로 66";37.43586028;127.1494285
4;"성남시 중원구";"우주요거트앤아이스크림";"경기도 성남시 중원구 금광동 10";"경기도 성남시 중원구 광명로 289";37.44433091;127.1583171
5;"성남시 중원구";"따봉노래연습장";"경기도 성남시 중원구 중앙동 2324";"경기도 성남시 중원구 광명로 246-1";37.4421381;127.1540812
6;"성남시 중원구";"예가낙지마을";"경기도 성남시 중원구 상대원동 5442-1";"경기도 성남시 중원구 둔촌대로 388";37.43262377;127.1592731
7;"성남시 중원구";"크리스챤모드";"경기도 성남시 중원구 상대원동 307-2";"경기도 성남시 중원구 사기막골로 52";37.43485226;127.1711582
8;"성남시 중원구";"서울포차";"경기도 성남시 중원구 성남동 3461";"경기도 성남시 중원구 둔촌대로101번길 26";37.43194433;127.1301282
9;"성남시 중원구";"빛나는패션";"경기도 성남시 중원구 금광동 10";"경기도 성남시 중원구 광명로 289";37.44433091;127.1583171
10;"성남시 중원구";"쿠쿠";"경기도 성남시 중원구 하대원동 148-2";"경기도 성남시 중원구 마지로 111";37.42781387;127.1419719
11;"성남시 중원구";"림스헤어";"경기도 성남시 중원구 상대원동 2985-9";"경기도 성남시 중원구 희망로326번길 3-4";37.43518704;127.1586003
12;"성남시 중원구";"오성클린";"경기도 성남시 중원구 하대원동 194";"경기도 성남시 중원구 시민로26번길 12";37.43198485;127.1518226
13;"성남시 중원구";"투우사";"경기도 성남시 중원구 성남동 1315";"경기도 성남시 중원구 산성대로 204-5";37.4375733;127.1408435
14;"성남시 중원구";"단헤어스튜디오";"경기도 성남시 중원구 여수동 402";"경기도 성남시 중원구 여수울로15번길 4-2";37.41894653;127.1307643
15;"성남시 중원구";"빠샤수제닭꼬치";"경기도 성남시 중원구 은행동 1342";"경기도 성남시 중원구 은행로37번길 19-1";37.45623386;127.1671923
16;"성남시 중원구";"온가족스튜디오조아패밀리";"경기도 성남시 중원구 여수동 191";"경기도 성남시 중원구 양현로405번길 4-3";37.41743483;127.1273813
17;"성남시 중원구";"섬마을포차";"경기도 성남시 중원구 금광동 1789";"경기도 성남시 중원구 광명로 360";37.44617734;127.1658346
18;"성남시 중원구";"본죽";"경기도 성남시 중원구 성남동 3786";"경기도 성남시 중원구 제일로 39";37.43050391;127.1364498
19;"성남시 중원구";"김효정헤어센스";"경기도 성남시 중원구 중앙동 2306";"경기도 성남시 중원구 산성대로334번길 15";37.44204158;127.1544439
20;"성남시 중원구";"오제이인테리어";"경기도 성남시 중원구 상대원동 1722";"경기도 성남시 중원구 둔촌대로 411";37.43335061;127.1626548
21;"성남시 중원구";"에스마트성남금광";"경기도 성남시 중원구 금광동 4707";"경기도 성남시 중원구 산성대로452번길 8-1";37.45164845;127.1609703
22;"성남시 중원구";"카페비비&와플";"경기도 성남시 중원구 상대원동 2455";"경기도 성남시 중원구 박석로93번길 27-2";37.43912515;127.1624662
23;"성남시 중원구";"조이이엔지";"경기도 성남시 중원구 상대원동 4236";"경기도 성남시 중원구 희망로353번길 13-1";37.43724509;127.1565771
24;"성남시 중원구";"지에스25성남한아름점";"경기도 성남시 중원구 은행동 683";"경기도 성남시 중원구 산성대로562번길 6";37.46000729;127.1669018
25;"성남시 중원구";"건물주";"경기도 성남시 중원구 은행동 1539";"경기도 성남시 중원구 은이로8번길 5-2";37.45701007;127.1648213
26;"성남시 중원구";"청학동";"경기도 성남시 중원구 은행동 722-1";"경기도 성남시 중원구 산성대로552번길 2";37.45954117;127.1659687
