"주차장번호";"주차장명";"주차장구분";"주차장유형";"소재지도로명주소";"소재지지번주소";"주차구획수";"급지구분";"부제시행구분";"운영요일";"평일운영시작시각";"평일운영종료시각";"토요일운영시작시각";"토요일운영종료시각";"공휴일운영시작시각";"공휴일운영종료시각";"요금정보";"주차기본시간";"주차기본요금";"추가단위시간";"추가단위요금";"1일주차권요금적용시간";"1일주차권요금";"월정기권요금";"결제방법";"특기사항";"관리기관명";"전화번호";"위도";"경도";"데이터기준일자"
"204-1-000001";"수상4";"공영";"노상";"경기도 성남시 수정구 산성대로 415";"경기도 성남시 수정구 단대동 158-3번지";14;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44905421;127.1583536;"2022-06-08"
"204-1-000002";"수상5";"공영";"노상";"경기도 성남시 수정구 산성대로 395";"경기도 성남시 수정구 단대동 161-6번지";17;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44745857;127.1576451;"2022-06-08"
"204-1-000003";"수상7";"공영";"노상";"경기도 성남시 수정구 산성대로 285";"경기도 성남시 수정구 신흥동 2495번지";14;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44166429;127.1484933;"2022-06-08"
"204-1-000004";"수상16";"공영";"노상";"경기도 성남시 수정구 제일로 190";"경기도 성남시 수정구 태평동 3740-31번지";12;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44320236;127.130922;"2022-06-08"
"204-1-000005";"수상9,10";"공영";"노상";"경기도 성남시 수정구 산성대로 195";"경기도 성남시 수정구 수진동 2211번지";32;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.43745805;127.1398748;"2022-06-08"
"204-1-000006";"수상11";"공영";"노상";"경기도 성남시 수정구 산성대로 지하 200";"경기도 성남시 수정구 수진동 2210-1";38;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.43746259;127.1403505;"2022-06-08"
"204-1-000007";"수상11-1";"공영";"노상";"경기도 성남시 수정구 산성대로 183";"경기도 성남시 수정구 수진동 2220번지 MD아파트";26;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.43693675;127.1387845;"2022-06-08"
"204-1-000008";"수상1";"공영";"노상";"경기도 성남시 수정구 산성대로 465";"경기도 성남시 수정구 단대동 69-5번지";10;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.45338736;127.1602298;"2022-06-08"
"204-1-000009";"수상1-2";"공영";"노상";"경기도 성남시 수정구 산성대로 451";"경기도 성남시 수정구 단대동 75번지";7;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.45292424;127.1588907;"2022-06-08"
"204-1-000010";"수상2";"공영";"노상";"경기도 성남시 수정구 산성대로 475";"경기도 성남시 수정구 단대동 69-1번지";32;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.45414349;127.1605093;"2022-06-08"
"204-1-000011";"수상3";"공영";"노상";"경기도 성남시 수정구 산성대로 431";"경기도 성남시 수정구 단대동 97-3번지";7;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 51프로 할인 등";"성남도시개발공사 노상주차처";"";37.45047695;127.158994;"2022-06-08"
"204-1-000012";"수상20";"공영";"노상";"경기도 성남시 수정구 산성대로 529-2";"경기도 성남시 수정구 양지동 877번지";37;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.45338736;127.1602298;"2022-06-08"
"204-1-000013";"산성대로 589";"공영";"노상";"경기도 성남시 수정구 산성대로 589";"경기도 성남시 수정구 양지동 31번지";25;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.46243664;127.1683513;"2022-06-08"
"204-2-000001";"논골공영";"공영";"노외";"경기도 성남시 수정구 수정로 460";"경기도 성남시 수정구 단대동 산164-20번지";124;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;300;10;100;24;6000;20000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.46203946;127.1557496;"2022-06-08"
"204-2-000002";"단대 제1";"공영";"노외";"경기도 성남시 수정구 논골로 54";"경기도 성남시 수정구 단대동 27-1번지";151;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.45869467;127.1586362;"2022-06-08"
